,cat_t0,cat_t1,cat_t2
302820126,proukr,proukr,pax
303153745,pax,proukr,dontcare
303276309,proukr,proukr,dontcare
303324434,dontcare,,dontcare
303643681,proukr,,dontcare
304241213,dontcare,,dontcare
304584585,proukr,,proukr
304628867,proukr,proukr,dontcare
305161115,proukr,proukr,dontcare
305429918,proukr,,dontcare
305526924,proukr,,proukr
305661348,proukr,proukr,dontcare
305779818,prorus,,proukr
305806711,pax,,dontcare
305960651,pax,,proukr
306189960,pax,,proukr
306318042,proukr,proukr,dontcare
306936570,pax,,dontcare
307038329,proukr,proukr,dontcare
307112700,proukr,proukr,dontcare
307229492,pax,,pax
308081961,proukr,,proukr
308183235,proukr,proukr,dontcare
308250112,pax,proukr,dontcare
308750887,pax,proukr,dontcare
308987972,proukr,proukr,dontcare
309106340,proukr,,proukr
309422920,proukr,proukr,pax
309536702,proukr,proukr,dontcare
309731621,proukr,proukr,dontcare
309908788,proukr,,proukr
310028318,proukr,proukr,dontcare
310183254,dontcare,proukr,dontcare
310241213,proukr,proukr,dontcare
310394988,proukr,proukr,dontcare
310981940,pax,,proukr
311314150,proukr,proukr,dontcare
311358169,proukr,,pax
311443406,pax,,dontcare
311482552,proukr,,proukr
311549242,dontcare,,dontcare
311686388,dontcare,,proukr
311889009,proukr,proukr,pax
311914224,proukr,proukr,pax
312002806,pax,proukr,dontcare
312224660,pax,proukr,pax
312284005,proukr,,pax
312512197,proukr,proukr,pax
312633500,pax,proukr,dontcare
312863470,proukr,proukr,dontcare
312961319,proukr,proukr,dontcare
312989952,proukr,,proukr
313580651,proukr,,dontcare
313634941,proukr,,pax
313847422,proukr,proukr,pax
314588400,proukr,,dontcare
314697828,proukr,proukr,dontcare
314727834,proukr,,dontcare
314808811,proukr,,dontcare
314894442,proukr,proukr,dontcare
315180337,proukr,proukr,dontcare
315241221,pax,,pax
315725108,proukr,,proukr
315741902,dontcare,,proukr
315785177,proukr,,dontcare
315942970,proukr,proukr,dontcare
316529697,proukr,,dontcare
316611284,pax,,dontcare
316797199,proukr,,pax
317062338,proukr,,dontcare
317276813,pax,proukr,dontcare
317527173,proukr,,proukr
317724704,pax,,proukr
318023999,proukr,proukr,dontcare
318441988,proukr,proukr,dontcare
318706717,pax,,proukr
319139187,prorus,proukr,pax
319145029,prorus,proukr,dontcare
319619581,proukr,proukr,dontcare
320171449,pax,proukr,pax
320396126,proukr,,dontcare
320926447,proukr,,pax
321250500,prorus,proukr,dontcare
321481071,proukr,proukr,dontcare
321589716,pax,,pax
322095351,proukr,proukr,dontcare
322302221,pax,,pax
322442915,proukr,,proukr
322459327,proukr,,proukr
322881819,proukr,proukr,dontcare
323864904,proukr,proukr,dontcare
324363369,pax,proukr,dontcare
324975557,proukr,,dontcare
325131539,proukr,,dontcare
325291661,proukr,proukr,pax
325570275,proukr,proukr,pax
325605387,proukr,,proukr
326171941,proukr,,dontcare
326229600,pax,,dontcare
326760883,proukr,,dontcare
326788733,proukr,proukr,dontcare
326815674,dontcare,,pax
326997573,proukr,,proukr
327489815,proukr,,proukr
327521544,dontcare,,proukr
327565939,dontcare,proukr,dontcare
327747363,proukr,proukr,dontcare
328028758,proukr,,pax
328298954,proukr,,pax
328391021,proukr,,dontcare
328576552,proukr,proukr,pax
328712462,pax,proukr,dontcare
328756439,proukr,proukr,pax
329027082,dontcare,proukr,pax
329159493,proukr,,pax
329347574,pax,,pax
329457289,pax,,dontcare
329842819,dontcare,proukr,dontcare
329947665,proukr,,dontcare
330145442,proukr,,dontcare
330157380,proukr,proukr,pax
330488403,dontcare,,dontcare
330532430,proukr,proukr,dontcare
330576715,prorus,,pax
330789343,proukr,,pax
330907227,pax,,dontcare
331111579,proukr,,dontcare
331119235,dontcare,,dontcare
331317907,proukr,proukr,dontcare
331464186,proukr,,dontcare
331666614,proukr,,proukr
332080277,proukr,proukr,dontcare
332090722,pax,proukr,pax
332394186,proukr,proukr,pax
332461251,proukr,,proukr
333011425,proukr,,dontcare
333045750,prorus,,dontcare
333300093,pax,proukr,dontcare
333302137,pax,proukr,dontcare
333753267,proukr,proukr,pax
334099687,proukr,,proukr
334302629,proukr,proukr,pax
334544987,proukr,proukr,dontcare
334882778,proukr,proukr,dontcare
335143897,prorus,proukr,dontcare
336108990,pax,,dontcare
336222916,proukr,,dontcare
336232230,proukr,,dontcare
336357663,proukr,proukr,dontcare
336486176,prorus,,dontcare
336558514,proukr,,dontcare
336785641,proukr,,pax
336794478,dontcare,,pax
337292541,proukr,proukr,pax
337568786,proukr,proukr,dontcare
337722792,dontcare,,dontcare
337750146,proukr,proukr,dontcare
337893895,proukr,,dontcare
338129611,proukr,,pax
338340457,proukr,proukr,dontcare
338611466,pax,proukr,pax
338996464,proukr,proukr,pax
339433442,proukr,,proukr
339863753,proukr,proukr,dontcare
339928393,pax,proukr,dontcare
340033882,proukr,proukr,dontcare
340498991,proukr,,dontcare
341454994,pax,,pax
341805227,pax,proukr,dontcare
342028286,pax,,pax
342545264,dontcare,,pax
342682655,proukr,proukr,pax
342987607,dontcare,,pax
343456005,proukr,,proukr
343473755,proukr,,dontcare
343560360,pax,,pax
343797517,proukr,proukr,pax
343885694,proukr,proukr,dontcare
344040211,proukr,proukr,dontcare
344164709,proukr,proukr,dontcare
344963913,prorus,,dontcare
345032811,proukr,proukr,dontcare
345365317,proukr,,dontcare
345462945,proukr,,proukr
345621351,pax,proukr,dontcare
346034975,proukr,,pax
346059606,pax,,pax
346107333,pax,proukr,pax
346173354,proukr,,pax
346548471,proukr,proukr,dontcare
346563931,proukr,proukr,dontcare
346803735,pax,proukr,pax
347001903,pax,,proukr
347085558,proukr,,dontcare
347107068,proukr,proukr,pax
347310360,proukr,proukr,dontcare
347370924,proukr,,proukr
347701167,pax,,dontcare
347907284,pax,proukr,dontcare
348053611,proukr,proukr,dontcare
348819046,pax,proukr,pax
349391821,proukr,proukr,pax
349622300,proukr,,pax
349752072,pax,proukr,pax
349869299,proukr,,proukr
349929075,dontcare,,dontcare
350139843,dontcare,,proukr
350437162,proukr,,dontcare
351118967,proukr,proukr,dontcare
351259459,pax,proukr,pax
351477729,proukr,,dontcare
351499204,pax,,proukr
351635461,proukr,proukr,dontcare
351744755,proukr,,pax
352263530,proukr,,dontcare
353031737,proukr,,proukr
353091467,proukr,,dontcare
353186567,pax,,pax
354042424,pax,proukr,dontcare
354712792,proukr,,dontcare
354854607,pax,proukr,dontcare
354874077,proukr,,pax
354884801,dontcare,,dontcare
354931071,proukr,,pax
355128498,proukr,,proukr
355376282,proukr,,dontcare
355654121,proukr,,dontcare
355702557,pax,,proukr
355851082,pax,,dontcare
355870350,proukr,proukr,dontcare
356129514,proukr,,dontcare
356208774,proukr,,pax
356229790,proukr,proukr,dontcare
356367405,pax,,dontcare
356374205,proukr,,proukr
356411775,pax,proukr,dontcare
356997587,pax,,dontcare
357074444,proukr,proukr,dontcare
357092908,pax,proukr,pax
357151169,proukr,,pax
357464190,dontcare,,proukr
357709338,proukr,,proukr
357860827,pax,proukr,dontcare
358084599,proukr,,pax
358841818,proukr,,dontcare
359092707,dontcare,,pax
359149679,proukr,,pax
359279920,proukr,proukr,pax
359442638,proukr,proukr,dontcare
359560510,proukr,,proukr
360092398,proukr,,pax
360225537,pax,,dontcare
360732250,proukr,,proukr
362009470,proukr,,pax
362074693,proukr,,pax
362084030,pax,,proukr
362105796,proukr,proukr,pax
362589018,pax,proukr,pax
362611279,pax,proukr,dontcare
362871388,pax,,dontcare
363070453,pax,proukr,dontcare
363180823,proukr,,pax
363240308,proukr,,dontcare
363423261,proukr,proukr,dontcare
363610668,proukr,proukr,dontcare
363957789,pax,proukr,pax
364485678,proukr,,dontcare
364488806,proukr,proukr,dontcare
364702177,proukr,proukr,dontcare
364784902,proukr,proukr,pax
365086985,proukr,proukr,dontcare
365161396,proukr,proukr,pax
365727108,pax,proukr,pax
365845420,proukr,,dontcare
366098194,pax,,proukr
366165418,proukr,,dontcare
366174687,pax,proukr,dontcare
366491790,dontcare,,proukr
366498596,dontcare,,pax
366529346,proukr,proukr,pax
367280085,proukr,,dontcare
367296011,proukr,,dontcare
367952682,proukr,proukr,dontcare
368024466,dontcare,,dontcare
368198105,dontcare,proukr,dontcare
369928983,dontcare,proukr,pax
370135213,proukr,,pax
370570042,proukr,,pax
370706627,proukr,proukr,dontcare
370792695,proukr,,proukr
370905278,pax,,pax
371447313,proukr,,proukr
372578208,proukr,,proukr
372828576,proukr,proukr,dontcare
373328742,dontcare,proukr,pax
373573735,proukr,proukr,dontcare
374516225,proukr,proukr,dontcare
374699298,proukr,,proukr
374810723,proukr,proukr,dontcare
375363405,prorus,,proukr
376362429,proukr,,proukr
377249170,pax,,dontcare
377882157,pax,proukr,dontcare
378216348,proukr,,dontcare
378540511,pax,,pax
379517721,dontcare,,dontcare
379941935,proukr,,proukr
380189237,pax,,dontcare
380288305,proukr,,dontcare
380519113,proukr,proukr,dontcare
380566939,proukr,,dontcare
380664031,proukr,,proukr
380898112,pax,proukr,pax
380919448,pax,,dontcare
381258483,proukr,proukr,dontcare
381704954,proukr,,dontcare
381710530,pax,,pax
381718987,proukr,,pax
381721893,pax,,dontcare
381971674,proukr,proukr,pax
382218699,pax,,pax
382260034,dontcare,,pax
383046887,proukr,,proukr
383500278,prorus,,dontcare
383893730,proukr,proukr,dontcare
383936485,proukr,proukr,dontcare
384007183,proukr,,dontcare
384852760,pax,proukr,dontcare
385034628,proukr,proukr,dontcare
385051992,proukr,proukr,pax
385162111,pax,,dontcare
385268627,proukr,,dontcare
385688415,proukr,proukr,dontcare
385717299,pax,,proukr
385764176,pax,proukr,pax
385966577,proukr,proukr,dontcare
386072477,dontcare,,dontcare
386111756,proukr,,proukr
386164436,proukr,proukr,dontcare
386182885,proukr,proukr,pax
386213355,proukr,proukr,dontcare
386673043,proukr,proukr,dontcare
386696801,proukr,proukr,dontcare
386819593,proukr,proukr,dontcare
387088471,proukr,proukr,dontcare
387769772,proukr,proukr,dontcare
388187529,proukr,proukr,dontcare
388195931,proukr,proukr,dontcare
388663219,proukr,proukr,dontcare
388845931,proukr,,pax
389114038,proukr,proukr,dontcare
389322218,proukr,,proukr
389555799,proukr,proukr,dontcare
389972564,proukr,proukr,dontcare
390061063,proukr,,dontcare
390139625,proukr,proukr,pax
390455545,proukr,proukr,dontcare
391601240,proukr,,dontcare
391608808,proukr,,dontcare
391933746,proukr,proukr,pax
392161532,proukr,proukr,dontcare
392288903,proukr,,dontcare
392391069,proukr,proukr,dontcare
392450467,pax,,pax
392546979,proukr,proukr,dontcare
392557812,prorus,,proukr
392725328,proukr,proukr,dontcare
393007143,pax,,pax
393106536,proukr,,proukr
393668906,proukr,proukr,dontcare
394385510,proukr,,proukr
394637051,proukr,proukr,pax
394717596,proukr,proukr,dontcare
394969362,pax,proukr,dontcare
395361626,proukr,,dontcare
395481287,proukr,,pax
395660281,proukr,proukr,pax
395804218,proukr,,dontcare
395825663,proukr,,pax
395953021,proukr,proukr,dontcare
396026795,prorus,proukr,dontcare
396044297,proukr,proukr,dontcare
396123155,proukr,,dontcare
396312747,proukr,proukr,dontcare
396448352,proukr,,pax
397314893,proukr,proukr,pax
397430245,proukr,proukr,pax
397661928,pax,,proukr
397946276,proukr,proukr,pax
398024643,proukr,,dontcare
398100478,pax,proukr,dontcare
398383251,proukr,,proukr
398483708,dontcare,proukr,dontcare
398696268,proukr,,dontcare
399178595,proukr,,dontcare
399369913,pax,proukr,dontcare
399410067,proukr,proukr,dontcare
399937119,proukr,proukr,pax
400089636,proukr,proukr,dontcare
400982125,pax,proukr,dontcare
401040822,proukr,proukr,dontcare
401610317,proukr,,proukr
401625193,pax,,pax
402596840,proukr,proukr,dontcare
402934934,proukr,proukr,pax
403118869,proukr,,dontcare
403257325,pax,,proukr
403347105,proukr,,proukr
403381541,proukr,,dontcare
403634372,pax,,proukr
404038986,proukr,proukr,dontcare
404069048,proukr,,dontcare
404289578,proukr,,proukr
404305206,prorus,,proukr
404809312,proukr,proukr,dontcare
404840320,proukr,,dontcare
405409223,proukr,proukr,pax
405792460,proukr,proukr,dontcare
405812637,proukr,,proukr
405819780,dontcare,,pax
406583979,dontcare,,dontcare
407048454,pax,,pax
407065731,proukr,,proukr
407161014,proukr,proukr,dontcare
407303421,dontcare,,proukr
407418136,proukr,,proukr
407614732,pax,,proukr
408613702,pax,,pax
408905990,proukr,proukr,dontcare
409427594,proukr,,dontcare
409868039,proukr,,proukr
410200474,proukr,proukr,dontcare
410218198,proukr,proukr,pax
410276852,proukr,,proukr
410662118,pax,,proukr
410910656,proukr,,proukr
411133921,proukr,proukr,proukr
411200575,proukr,proukr,proukr
411295303,dontcare,,proukr
411393747,prorus,,proukr
411987281,pax,proukr,proukr
412438115,dontcare,proukr,proukr
412474587,pax,,proukr
412846984,pax,proukr,proukr
413212673,proukr,proukr,proukr
413590655,proukr,proukr,proukr
413784340,proukr,,proukr
414013724,proukr,,proukr
414074399,dontcare,proukr,proukr
414110886,proukr,,proukr
414217996,proukr,,proukr
414221776,proukr,proukr,proukr
414367316,proukr,,proukr
414451708,pax,proukr,proukr
414599601,pax,proukr,proukr
414736642,dontcare,proukr,dontcare
415724228,proukr,,proukr
415787368,pax,proukr,proukr
416020903,proukr,,proukr
416438593,pax,,proukr
416609253,pax,,proukr
417144616,prorus,,proukr
417282833,proukr,,proukr
417340374,proukr,,proukr
417355686,proukr,,proukr
417941587,proukr,proukr,proukr
418251429,proukr,proukr,dontcare
418627715,pax,proukr,proukr
418667200,proukr,,proukr
419622371,proukr,proukr,proukr
419757788,proukr,,proukr
419912457,proukr,,proukr
419927046,proukr,,proukr
420326282,pax,proukr,proukr
420351613,dontcare,proukr,proukr
420475286,pax,,proukr
420921183,pax,,proukr
421124792,proukr,,proukr
421359651,proukr,,proukr
421441397,proukr,,proukr
421575642,pax,,proukr
421616276,proukr,,proukr
421933415,proukr,,proukr
421956193,proukr,proukr,proukr
422023154,proukr,,proukr
422103539,proukr,proukr,proukr
422789312,pax,proukr,proukr
424610985,prorus,proukr,proukr
425107383,proukr,,proukr
425425214,proukr,,proukr
425640366,dontcare,proukr,dontcare
426993983,proukr,proukr,proukr
427550565,proukr,proukr,proukr
427951650,proukr,proukr,proukr
428307558,proukr,,proukr
428376870,proukr,proukr,proukr
428492711,pax,proukr,proukr
428548058,proukr,,proukr
428570381,dontcare,,proukr
428678287,pax,,proukr
428917289,proukr,proukr,dontcare
429189805,proukr,proukr,proukr
429322606,proukr,,proukr
429835157,proukr,proukr,proukr
430813580,dontcare,,proukr
431117310,proukr,,proukr
431400144,pax,proukr,proukr
431569995,proukr,,proukr
431831209,proukr,,proukr
432735135,pax,proukr,proukr
433416417,proukr,proukr,proukr
433494526,proukr,,proukr
433625808,proukr,,proukr
434275853,proukr,proukr,proukr
434453451,proukr,,proukr
434839840,pax,proukr,dontcare
435089541,proukr,,proukr
435149578,proukr,,proukr
435164767,prorus,,proukr
436174178,proukr,,proukr
436209146,pax,proukr,proukr
436845642,dontcare,,proukr
437939699,pax,proukr,proukr
438612288,proukr,,proukr
439290171,proukr,proukr,proukr
439855752,proukr,proukr,proukr
439876441,pax,,proukr
440341330,pax,,proukr
440428603,proukr,proukr,proukr
440684594,dontcare,,proukr
440756482,proukr,proukr,proukr
440916146,proukr,,proukr
442296826,pax,proukr,proukr
442374179,proukr,,proukr
442488655,pax,,proukr
443053545,proukr,,proukr
443369826,proukr,proukr,proukr
443428247,proukr,proukr,proukr
443931031,proukr,,proukr
444260943,proukr,proukr,dontcare
444321337,pax,proukr,proukr
444928146,proukr,,proukr
446132398,pax,,proukr
446802612,pax,proukr,proukr
446839130,proukr,,proukr
446977065,proukr,,proukr
449010818,proukr,,proukr
449072583,proukr,proukr,proukr
449216227,proukr,,proukr
449867166,proukr,proukr,proukr
451048368,proukr,,proukr
451428588,prorus,proukr,dontcare
451912692,pax,proukr,proukr
453026366,proukr,proukr,dontcare
453230273,prorus,,proukr
453526137,proukr,proukr,dontcare
453677181,proukr,,proukr
453720551,pax,,proukr
453782538,pax,proukr,proukr
454263747,prorus,proukr,proukr
454711887,dontcare,,proukr
455015681,proukr,,proukr
455060341,pax,proukr,proukr
456600651,proukr,proukr,proukr
457206212,pax,proukr,proukr
457277398,proukr,,proukr
457558572,pax,proukr,proukr
457679710,proukr,proukr,proukr
457743272,proukr,,proukr
457757072,proukr,,proukr
458320624,proukr,proukr,proukr
458821346,proukr,proukr,proukr
459120482,proukr,,proukr
459142197,proukr,,proukr
459186852,pax,proukr,dontcare
459438278,proukr,,proukr
459798000,proukr,,proukr
460061801,dontcare,,proukr
460332241,proukr,,proukr
460567624,proukr,,proukr
461297634,dontcare,,proukr
461916437,proukr,proukr,proukr
462168457,pax,proukr,dontcare
462427721,proukr,,proukr
463255536,proukr,,proukr
463469738,proukr,,proukr
463639623,proukr,,proukr
463745424,proukr,,proukr
463911801,proukr,,proukr
463977154,proukr,,proukr
464053026,proukr,proukr,proukr
464289318,prorus,,proukr
464612109,proukr,proukr,proukr
464840222,proukr,proukr,proukr
465484805,proukr,,proukr
465877693,proukr,,proukr
466207652,pax,proukr,proukr
466319594,proukr,,proukr
466484912,proukr,,proukr
466765222,proukr,proukr,proukr
467377707,pax,,proukr
467462122,proukr,proukr,proukr
467688482,proukr,,proukr
467692844,proukr,proukr,proukr
468534179,pax,proukr,proukr
468835830,proukr,,proukr
468851612,pax,,proukr
469683100,proukr,proukr,proukr
470122470,proukr,,proukr
470256140,proukr,proukr,proukr
470290675,proukr,,proukr
470454408,pax,,proukr
470565078,proukr,proukr,proukr
471361749,proukr,proukr,proukr
471985796,pax,proukr,proukr
472106196,proukr,proukr,proukr
472175811,proukr,,proukr
472275164,prorus,,proukr
472946305,dontcare,,proukr
473098846,proukr,proukr,proukr
473123010,proukr,proukr,proukr
473565593,proukr,proukr,proukr
474191536,proukr,,proukr
474214739,proukr,,proukr
474489564,proukr,proukr,proukr
474710330,dontcare,proukr,dontcare
474749215,proukr,,proukr
475838658,pax,,proukr
475893362,proukr,proukr,proukr
475943789,proukr,,proukr
476006016,pax,proukr,proukr
476246949,pax,,proukr
476804251,proukr,,proukr
477028263,pax,,proukr
477073585,proukr,,proukr
477326820,proukr,proukr,proukr
477333459,proukr,proukr,proukr
477669251,pax,proukr,proukr
477713406,proukr,,proukr
477719882,proukr,proukr,proukr
478295779,proukr,,proukr
478764007,proukr,,proukr
478910932,pax,,proukr
479240208,proukr,proukr,dontcare
479696681,proukr,,proukr
479851695,proukr,,proukr
479929970,pax,proukr,proukr
480463473,proukr,proukr,proukr
480680299,dontcare,,proukr
480900509,proukr,,proukr
481632001,dontcare,,proukr
482413140,proukr,proukr,proukr
482482833,dontcare,,proukr
482521381,proukr,,proukr
483021494,proukr,,proukr
483029260,proukr,,proukr
483677760,proukr,,proukr
483873495,pax,,proukr
484080959,pax,,proukr
484342498,pax,,proukr
485041702,proukr,proukr,proukr
485063569,proukr,,proukr
485122852,proukr,proukr,proukr
487099480,proukr,proukr,proukr
487723257,proukr,,proukr
487752033,proukr,proukr,dontcare
487845735,pax,proukr,proukr
488359495,proukr,proukr,proukr
489315920,pax,,proukr
489824391,proukr,proukr,proukr
489900556,proukr,proukr,proukr
490061165,proukr,,proukr
490196960,proukr,,proukr
490319596,pax,proukr,proukr
490553562,dontcare,proukr,proukr
490764827,pax,,proukr
490782345,pax,,proukr
490857574,proukr,proukr,proukr
490970728,pax,,proukr
491640057,dontcare,,proukr
492010683,proukr,,proukr
492466348,proukr,,proukr
492500754,proukr,,proukr
492909670,proukr,,proukr
493234169,proukr,proukr,proukr
493984182,proukr,,proukr
494825372,proukr,,proukr
494873415,proukr,proukr,proukr
495060021,pax,proukr,proukr
495110738,proukr,proukr,proukr
495623215,proukr,,proukr
496199344,proukr,proukr,proukr
496334545,proukr,,proukr
497216443,pax,proukr,proukr
497268404,prorus,,proukr
498241523,proukr,,proukr
498631199,dontcare,proukr,dontcare
499505782,proukr,,proukr
499838840,pax,,proukr
500394505,pax,proukr,proukr
500734251,proukr,,proukr
500890550,proukr,,proukr
501137418,pax,proukr,dontcare
501156161,proukr,proukr,proukr
501397421,proukr,,proukr
501563776,proukr,proukr,dontcare
501638072,pax,proukr,proukr
503061739,proukr,,proukr
503820367,proukr,,proukr
504920310,dontcare,,proukr
505286262,proukr,proukr,proukr
510047880,pax,,proukr
512494247,dontcare,proukr,proukr
512567648,proukr,proukr,proukr
513534321,proukr,proukr,proukr
513835440,pax,proukr,dontcare
514482028,proukr,,proukr
514566856,proukr,proukr,proukr
514733527,proukr,,proukr
515006515,proukr,proukr,proukr
515229378,proukr,proukr,proukr
516174427,proukr,,proukr
516583662,pax,,proukr
517215168,prorus,,proukr
517484632,pax,,proukr
518899519,proukr,proukr,proukr
519208070,pax,,proukr
519769490,proukr,proukr,proukr
519803935,proukr,,proukr
520148825,prorus,,proukr
520570656,proukr,proukr,proukr
520822787,proukr,proukr,proukr
521043027,pax,,proukr
521634967,proukr,proukr,proukr
521652235,proukr,proukr,proukr
522492473,pax,,proukr
523530643,proukr,,proukr
523711195,proukr,,proukr
523896382,proukr,proukr,proukr
524097105,proukr,,proukr
524692289,pax,proukr,proukr
525340596,proukr,,proukr
525403063,pax,proukr,proukr
525738895,pax,proukr,proukr
525884536,proukr,,proukr
526041680,pax,proukr,dontcare
526267439,proukr,,proukr
526579473,dontcare,,proukr
526821475,proukr,proukr,proukr
527674798,proukr,proukr,proukr
527944350,proukr,proukr,proukr
528681640,proukr,proukr,proukr
528697497,proukr,proukr,proukr
529126263,pax,,proukr
529991739,proukr,proukr,proukr
533212881,pax,proukr,proukr
533316602,proukr,proukr,proukr
534729970,pax,,proukr
535183753,dontcare,proukr,dontcare
535491221,prorus,,proukr
535908339,pax,,proukr
536549984,proukr,,proukr
536744675,proukr,,proukr
537837123,proukr,,proukr
539660884,proukr,,proukr
539943263,proukr,proukr,dontcare
540069578,proukr,proukr,proukr
540223123,proukr,proukr,proukr
541080006,pax,,proukr
541692979,dontcare,,proukr
541824556,proukr,,proukr
542881632,pax,,proukr
543453102,pax,,proukr
544142863,proukr,,proukr
544639215,proukr,proukr,proukr
545553053,proukr,,proukr
545970661,proukr,,proukr
547106952,proukr,,proukr
549549910,proukr,,proukr
549646503,proukr,,proukr
549697565,proukr,,proukr
549786619,proukr,,proukr
550047907,pax,,proukr
550412800,proukr,proukr,dontcare
550555137,proukr,proukr,proukr
550810589,proukr,,proukr
551239859,proukr,proukr,proukr
551338399,pax,proukr,dontcare
551342421,proukr,,proukr
551763116,proukr,,proukr
552076163,dontcare,proukr,proukr
552084514,proukr,proukr,proukr
552174785,pax,proukr,proukr
552972831,pax,,proukr
553040903,dontcare,,proukr
553042183,pax,proukr,dontcare
553691103,proukr,proukr,proukr
553739165,proukr,proukr,proukr
554758317,proukr,proukr,proukr
554866470,proukr,proukr,proukr
554953739,proukr,proukr,proukr
555431921,proukr,proukr,proukr
555446752,dontcare,proukr,proukr
556235011,pax,proukr,proukr
557037685,proukr,proukr,proukr
557083854,proukr,proukr,proukr
557136227,proukr,proukr,proukr
557203576,proukr,proukr,proukr
557418472,pax,proukr,proukr
557813372,proukr,proukr,proukr
558134353,prorus,proukr,proukr
558207176,pax,proukr,proukr
559023147,proukr,proukr,proukr
559788124,pax,proukr,proukr
559977786,proukr,proukr,proukr
560249080,pax,proukr,proukr
560269519,proukr,proukr,proukr
560817896,proukr,proukr,proukr
561100654,pax,proukr,proukr
561534504,proukr,proukr,proukr
561588213,proukr,proukr,proukr
562054063,dontcare,proukr,proukr
562662650,proukr,proukr,proukr
563184235,proukr,proukr,dontcare
563880180,pax,proukr,dontcare
563924333,proukr,proukr,proukr
564313643,proukr,proukr,proukr
564947096,proukr,proukr,proukr
565101231,dontcare,proukr,dontcare
565131915,proukr,proukr,proukr
565291675,pax,proukr,proukr
565451024,proukr,proukr,proukr
565652374,proukr,proukr,proukr
565949730,proukr,proukr,proukr
566278892,proukr,proukr,proukr
566822128,proukr,proukr,proukr
567169564,pax,proukr,proukr
567350945,proukr,proukr,proukr
567497431,dontcare,proukr,proukr
567634152,proukr,proukr,proukr
567673300,pax,proukr,dontcare
569422609,proukr,proukr,proukr
569425982,dontcare,proukr,proukr
570066444,pax,proukr,proukr
570642975,proukr,proukr,proukr
570951911,pax,proukr,proukr
571044251,pax,proukr,proukr
571224125,proukr,proukr,proukr
571864971,dontcare,proukr,proukr
571969857,proukr,proukr,proukr
572123006,proukr,proukr,proukr
572992119,pax,proukr,proukr
573008688,proukr,proukr,proukr
573382568,proukr,proukr,proukr
574086102,proukr,proukr,proukr
574353469,pax,proukr,proukr
575474865,pax,proukr,proukr
576391251,proukr,proukr,proukr
578393872,proukr,proukr,proukr
578590553,proukr,proukr,proukr
579287636,pax,proukr,proukr
579747564,prorus,proukr,proukr
580002457,pax,proukr,dontcare
580026542,dontcare,proukr,proukr
580963228,proukr,proukr,proukr
581034670,proukr,proukr,dontcare
581073779,proukr,proukr,proukr
581164524,proukr,proukr,proukr
581208856,pax,proukr,proukr
581526397,proukr,proukr,proukr
581918209,proukr,proukr,proukr
582152087,proukr,proukr,proukr
582168070,proukr,proukr,proukr
582236593,pax,proukr,proukr
584834521,proukr,proukr,proukr
584959441,pax,proukr,proukr
586140188,pax,proukr,proukr
586624738,proukr,proukr,proukr
587767105,prorus,proukr,proukr
587951840,prorus,proukr,proukr
588153952,pax,proukr,proukr
588750058,pax,proukr,proukr
589150095,prorus,proukr,proukr
589606816,proukr,proukr,proukr
590040268,proukr,proukr,proukr
591393690,pax,proukr,proukr
591538799,proukr,proukr,proukr
592217455,proukr,proukr,proukr
592700565,proukr,proukr,proukr
593822791,pax,proukr,proukr
594672201,proukr,proukr,proukr
594683722,proukr,proukr,proukr
595162282,proukr,proukr,proukr
595295495,proukr,proukr,proukr
595742340,pax,proukr,proukr
596268186,proukr,proukr,proukr
596527396,proukr,proukr,proukr
597041967,proukr,proukr,proukr
597465686,proukr,proukr,proukr
597480158,proukr,proukr,proukr
597492087,proukr,proukr,dontcare
598022552,proukr,proukr,proukr
598386153,proukr,proukr,proukr
598521547,pax,proukr,proukr
599427190,proukr,proukr,proukr
599475665,proukr,proukr,proukr
599787992,proukr,proukr,proukr
600020362,proukr,proukr,proukr
600024481,proukr,proukr,proukr
600361167,proukr,proukr,proukr
601007144,proukr,proukr,proukr
602068266,proukr,proukr,proukr
602566752,pax,proukr,proukr
602655695,pax,proukr,proukr
602976830,pax,proukr,proukr
603638610,proukr,proukr,proukr
603646548,proukr,proukr,proukr
604890471,proukr,proukr,proukr
605091066,proukr,proukr,proukr
605667542,proukr,proukr,proukr
607251653,proukr,proukr,proukr
608125539,proukr,proukr,dontcare
608165419,pax,proukr,proukr
609044656,proukr,proukr,proukr
609049297,proukr,proukr,proukr
609793904,proukr,proukr,proukr
610626706,proukr,proukr,proukr
611027837,proukr,proukr,proukr
611650814,pax,proukr,proukr
611723769,proukr,proukr,proukr
611853672,pax,proukr,proukr
612253780,proukr,proukr,proukr
613479938,proukr,proukr,proukr
614425492,dontcare,proukr,proukr
614667453,proukr,proukr,proukr
614771274,proukr,proukr,proukr
615300515,dontcare,proukr,proukr
615660889,pax,proukr,proukr
615670110,pax,proukr,dontcare
616487153,proukr,proukr,proukr
616635716,pax,proukr,proukr
616662426,proukr,proukr,proukr
617772546,proukr,proukr,proukr
618237768,proukr,proukr,proukr
618371746,proukr,proukr,proukr
618390979,proukr,proukr,proukr
618492292,proukr,proukr,proukr
619305880,prorus,proukr,proukr
619347338,proukr,proukr,proukr
619635949,pax,proukr,proukr
620026824,proukr,proukr,proukr
620167039,proukr,proukr,proukr
620297304,proukr,proukr,proukr
620604453,proukr,proukr,proukr
620908933,pax,proukr,proukr
